county_fips,county_name,state,cbsa_code,cbsa_name,geography_weeks,event_weeks,event_week_share,total_game_count,mean_revenue_all,mean_revenue_all_event_weeks,mean_revenue_all_non_event_weeks,event_vs_non_event_revenue_diff,mean_merchants_all,mean_merchants_all_event_weeks,mean_merchants_all_non_event_weeks,event_vs_non_event_merchants_diff
29095,Jackson County,MO,28140,"Kansas City, MO-KS",109,44,0.4036697247706422,136.0,-0.04000479816513761,0.02447584090909091,-0.08365323076923077,0.10812907167832168,0.04390440366972476,0.09473954545454544,0.009492923076923078,0.08524662237762236
12103,Pinellas County,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",109,28,0.25688073394495414,135.0,0.13856084587155965,0.21498214285714287,0.11214360740740739,0.10283853544973548,0.06673377981651377,0.08906071428571428,0.059015827160493826,0.03004488712522046
24510,Baltimore city,MD,12580,"Baltimore-Columbia-Towson, MD",109,44,0.4036697247706422,132.0,-0.18415853211009173,-0.12519545454545455,-0.22407200000000002,0.09887654545454547,-0.061563449541284405,-0.02459127272727272,-0.08659076923076924,0.061999496503496516
39061,Hamilton County,OH,17140,"Cincinnati, OH-KY-IN",109,44,0.4036697247706422,128.0,-0.04394220183486238,-0.004621818181818182,-0.07055907692307693,0.06593725874125875,-0.03495168532110092,-0.014946447727272726,-0.048493692307692314,0.03354724458041959
06073,San Diego County,CA,41740,"San Diego-Chula Vista-Carlsbad, CA",109,32,0.29357798165137616,128.0,-0.2208088073394495,-0.236534375,-0.2142735064935065,-0.022260868506493503,-0.12507783486238533,-0.14537500000000003,-0.11664264935064937,-0.02873235064935066
13067,Cobb County,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",109,30,0.27522935779816515,120.0,-0.09623178256880732,-0.09760966666666664,-0.09570853544303796,-0.0019011312236286715,-0.06456695596330274,-0.07231333333333335,-0.061625293670886074,-0.010688039662447281
06001,Alameda County,CA,41860,"San Francisco-Oakland-Fremont, CA",109,27,0.24770642201834864,116.0,-0.291025504587156,-0.30165925925925924,-0.2875241463414635,-0.014135112917795734,-0.12058916055045871,-0.128562962962963,-0.11796364024390243,-0.010599322719060555
36081,Queens County,NY,35620,"New York-Newark-Jersey City, NY-NJ",109,28,0.25688073394495414,110.0,-0.044910541284403666,0.019255392857142856,-0.06709135802469136,0.08634675088183422,-0.016072211009174314,0.010252857142857142,-0.025172234567901235,0.035425091710758375
13121,Fulton County,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",109,59,0.5412844036697247,109.0,-0.17787899082568806,-0.14999169491525424,-0.21078599999999997,0.06079430508474573,0.013695633027522938,0.04433296610169491,-0.02245642,0.06678938610169491
32003,Clark County,NV,29820,"Las Vegas-Henderson-North Las Vegas, NV",109,54,0.4954128440366973,101.0,-0.08370233027522934,-0.019119888888888895,-0.1471105454545455,0.1279906565656566,-0.13118339449541283,-0.11537555555555555,-0.14670381818181816,0.03132826262626261
18097,Marion County,IN,26900,"Indianapolis-Carmel-Greenwood, IN",109,51,0.46788990825688076,99.0,0.15806090825688074,0.21506350980392158,0.10793793103448275,0.10712557876943883,-0.021125211009174315,0.004730431372549019,-0.0438603448275862,0.04859077620013522
22071,Orleans Parish,LA,35380,"New Orleans-Metairie, LA",109,51,0.46788990825688076,96.0,-0.23959902752293585,-0.20332498039215685,-0.27149517241379306,0.06817019202163621,-0.05320835779816512,-0.00404256862745098,-0.0964403448275862,0.09239777620013523
