cbsa_code,cbsa_title,msa_block_id,msa_block_compact_id,block_population_count,block_msa_count,block_game_count,is_sparse_block,recommended_for_matching
10940,"Alma, MI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
11740,"Ashland, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
12140,"Auburn, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
12380,"Austin, MN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
13260,"Bedford, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
13340,"Bellefontaine, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
13420,"Bemidji, MN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
13660,"Big Rapids, MI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
14700,"Branson, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
15340,"Bucyrus, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
15460,"Burlington, IA-IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
15620,"Cadillac, MI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
15740,"Cambridge, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
16060,"Carbondale, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
16380,"Celina, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
16660,"Charleston-Mattoon, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
17540,"Clinton, IA",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
17740,"Coldwater, MI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
18100,"Columbus, NE",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
18820,"Crawfordsville, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
